Rank,Release Group,Worldwide,Domestic,%,Foreign,%
255,I Am Lisa,"$6,986","$6,986",100%,-,-
256,What We Found,"$6,976","$6,976",100%,-,-
257,12 Hour Shift,"$6,820","$6,820",100%,-,-
258,Human Capital,"$6,596","$6,596",100%,-,-
259,Afterward,"$6,477","$6,477",100%,-,-
260,In the Life of Music,"$5,772","$5,772",100%,-,-
261,Sex and the Future,"$5,745","$5,745",100%,-,-
262,Lie Exposed,"$5,318","$5,318",100%,-,-
263,Still Here,"$5,268","$5,268",100%,-,-
264,Ottolenghi and the Cakes of Versailles,"$4,962","$4,962",100%,-,-
265,Find Your Voice,"$4,816","$4,816",100%,-,-
266,King's Gambit,"$3,816","$3,816",100%,-,-
267,Moondance,"$2,371","$2,371",100%,-,-
268,Detective Chinatown 3,"$2,342",-,-,"$2,342",100%
269,Goldie,"$2,302","$2,302",100%,-,-
270,The Transcendents,"$2,041","$2,041",100%,-,-
271,Gul Makai,"$2,035",-,-,"$2,035",100%
272,The Fox Hunter,"$1,577","$1,577",100%,-,-
273,Fear Pharm,"$1,157","$1,157",100%,-,-
274,The Shade Shepherd,"$1,156","$1,156",100%,-,-
275,The Father,"$1,108",-,-,"$1,108",100%
276,Hai Tang Hong,"$1,107","$1,107",100%,-,-
277,Bang! Bang!,$965,$965,100%,-,-
278,Greater 2020 Re-release,$527,$527,100%,-,-
279,Spaceship Earth,$362,-,-,$362,100%
